timestamp, index, power.draw [W], utilization.gpu [%], utilization.memory [%], memory.used [MiB]
2025/09/19 18:16:19.179, 1, 93.28 W, 0 %, 0 %, 15 MiB
2025/09/19 18:16:20.179, 0, 95.79 W, 0 %, 0 %, 16 MiB
2025/09/19 18:16:20.181, 1, 95.41 W, 0 %, 0 %, 15 MiB
2025/09/19 18:16:21.182, 0, 95.79 W, 0 %, 0 %, 16 MiB
2025/09/19 18:16:21.211, 1, 100.31 W, 0 %, 0 %, 15 MiB
2025/09/19 18:16:22.211, 0, 96.11 W, 0 %, 0 %, 16 MiB
2025/09/19 18:16:22.237, 1, 102.61 W, 0 %, 0 %, 15 MiB
2025/09/19 18:16:23.400, 0, 96.82 W, 0 %, 0 %, 16 MiB
2025/09/19 18:16:23.400, 1, 85.49 W, 0 %, 0 %, 15 MiB
2025/09/19 18:16:24.401, 0, 95.93 W, 0 %, 0 %, 16 MiB
2025/09/19 18:16:24.401, 1, 97.22 W, 0 %, 0 %, 15 MiB
2025/09/19 18:16:25.401, 0, 95.97 W, 0 %, 0 %, 16 MiB
2025/09/19 18:16:25.401, 1, 100.68 W, 0 %, 0 %, 15 MiB
2025/09/19 18:16:26.402, 0, 93.85 W, 0 %, 0 %, 16 MiB
2025/09/19 18:16:26.405, 1, 99.14 W, 0 %, 0 %, 15 MiB
2025/09/19 18:16:27.405, 0, 79.27 W, 0 %, 0 %, 16 MiB
2025/09/19 18:16:27.406, 1, 86.47 W, 0 %, 0 %, 15 MiB
2025/09/19 18:16:28.406, 0, 76.18 W, 0 %, 0 %, 16 MiB
2025/09/19 18:16:28.406, 1, 80.01 W, 0 %, 0 %, 15 MiB
2025/09/19 18:16:29.406, 0, 93.64 W, 0 %, 0 %, 16 MiB
2025/09/19 18:16:29.407, 1, 87.38 W, 0 %, 0 %, 15 MiB
2025/09/19 18:16:30.407, 0, 83.17 W, 0 %, 0 %, 16 MiB
2025/09/19 18:16:30.512, 1, 89.61 W, 0 %, 0 %, 15 MiB
2025/09/19 18:16:31.512, 0, 74.21 W, 0 %, 0 %, 16 MiB
2025/09/19 18:16:31.518, 1, 92.86 W, 0 %, 0 %, 15 MiB
2025/09/19 18:16:32.518, 0, 80.75 W, 0 %, 0 %, 16 MiB
2025/09/19 18:16:32.519, 1, 95.79 W, 0 %, 0 %, 15 MiB
2025/09/19 18:16:33.519, 0, 88.12 W, 0 %, 0 %, 16 MiB
2025/09/19 18:16:33.519, 1, 107.12 W, 0 %, 0 %, 15 MiB
2025/09/19 18:16:34.519, 0, 92.64 W, 0 %, 0 %, 16 MiB
2025/09/19 18:16:34.519, 1, 103.63 W, 0 %, 0 %, 15 MiB
2025/09/19 18:16:35.573, 0, 95.18 W, 0 %, 0 %, 16 MiB
2025/09/19 18:16:35.590, 1, 85.82 W, 0 %, 0 %, 15 MiB
2025/09/19 18:16:36.590, 0, 96.35 W, 0 %, 0 %, 16 MiB
2025/09/19 18:16:36.591, 1, 74.80 W, 0 %, 0 %, 15 MiB
2025/09/19 18:16:37.591, 0, 97.17 W, 0 %, 0 %, 16 MiB
2025/09/19 18:16:37.591, 1, 79.25 W, 0 %, 0 %, 15 MiB
2025/09/19 18:16:38.591, 0, 95.30 W, 0 %, 0 %, 16 MiB
2025/09/19 18:16:38.592, 1, 105.27 W, 0 %, 0 %, 15 MiB
2025/09/19 18:16:39.592, 0, 95.30 W, 0 %, 0 %, 16 MiB
2025/09/19 18:16:39.656, 1, 107.34 W, 0 %, 0 %, 15 MiB
2025/09/19 18:16:40.656, 0, 95.82 W, 0 %, 0 %, 16 MiB
2025/09/19 18:16:40.767, 1, 109.26 W, 0 %, 0 %, 15 MiB
2025/09/19 18:16:41.768, 0, 96.81 W, 0 %, 0 %, 16 MiB
2025/09/19 18:16:41.768, 1, 109.58 W, 0 %, 0 %, 15 MiB
2025/09/19 18:16:42.768, 0, 96.89 W, 0 %, 0 %, 16 MiB
2025/09/19 18:16:42.769, 1, 92.59 W, 0 %, 0 %, 15 MiB
2025/09/19 18:16:43.769, 0, 96.42 W, 0 %, 0 %, 16 MiB
2025/09/19 18:16:43.769, 1, 84.39 W, 0 %, 0 %, 15 MiB
2025/09/19 18:16:44.770, 0, 95.99 W, 0 %, 0 %, 16 MiB
2025/09/19 18:16:44.770, 1, 93.08 W, 0 %, 0 %, 15 MiB
2025/09/19 18:16:45.770, 0, 96.73 W, 0 %, 0 %, 16 MiB
2025/09/19 18:16:45.770, 1, 82.14 W, 0 %, 0 %, 15 MiB
2025/09/19 18:16:46.770, 0, 97.07 W, 0 %, 0 %, 16 MiB
2025/09/19 18:16:46.771, 1, 91.70 W, 0 %, 0 %, 15 MiB
2025/09/19 18:16:47.771, 0, 96.17 W, 0 %, 0 %, 16 MiB
2025/09/19 18:16:47.771, 1, 106.92 W, 0 %, 0 %, 15 MiB
2025/09/19 18:16:48.772, 0, 95.23 W, 0 %, 0 %, 16 MiB
2025/09/19 18:16:48.861, 1, 103.67 W, 0 %, 0 %, 15 MiB
2025/09/19 18:16:49.861, 0, 96.15 W, 0 %, 0 %, 16 MiB
2025/09/19 18:16:49.880, 1, 89.47 W, 0 %, 0 %, 15 MiB
2025/09/19 18:16:51.000, 0, 96.51 W, 0 %, 0 %, 16 MiB
2025/09/19 18:16:51.000, 1, 84.80 W, 0 %, 0 %, 15 MiB
2025/09/19 18:16:52.001, 0, 97.16 W, 0 %, 0 %, 16 MiB
2025/09/19 18:16:52.001, 1, 90.72 W, 0 %, 0 %, 15 MiB
2025/09/19 18:16:53.001, 0, 77.85 W, 0 %, 0 %, 16 MiB
2025/09/19 18:16:53.001, 1, 109.36 W, 0 %, 0 %, 15 MiB
2025/09/19 18:16:54.002, 0, 79.44 W, 0 %, 0 %, 16 MiB
2025/09/19 18:16:54.002, 1, 109.78 W, 0 %, 0 %, 15 MiB
2025/09/19 18:16:55.002, 0, 85.98 W, 0 %, 0 %, 16 MiB
2025/09/19 18:16:55.002, 1, 109.34 W, 0 %, 0 %, 15 MiB
2025/09/19 18:16:56.002, 0, 92.97 W, 0 %, 0 %, 16 MiB
2025/09/19 18:16:56.003, 1, 93.84 W, 0 %, 0 %, 15 MiB
2025/09/19 18:16:57.003, 0, 96.00 W, 0 %, 0 %, 16 MiB
2025/09/19 18:16:57.003, 1, 80.70 W, 0 %, 0 %, 15 MiB
2025/09/19 18:16:58.004, 0, 79.09 W, 0 %, 0 %, 16 MiB
2025/09/19 18:16:58.156, 1, 84.91 W, 0 %, 0 %, 15 MiB
2025/09/19 18:16:59.157, 0, 77.01 W, 0 %, 0 %, 16 MiB
2025/09/19 18:16:59.157, 1, 89.20 W, 0 %, 0 %, 15 MiB
2025/09/19 18:17:00.229, 0, 96.71 W, 0 %, 0 %, 16 MiB
2025/09/19 18:17:00.229, 1, 93.86 W, 0 %, 0 %, 15 MiB
2025/09/19 18:17:01.229, 0, 96.94 W, 0 %, 0 %, 16 MiB
2025/09/19 18:17:01.229, 1, 80.43 W, 0 %, 0 %, 15 MiB
2025/09/19 18:17:02.230, 0, 95.98 W, 0 %, 0 %, 16 MiB
2025/09/19 18:17:02.230, 1, 81.15 W, 0 %, 0 %, 15 MiB
2025/09/19 18:17:03.230, 0, 88.00 W, 0 %, 0 %, 19 MiB
2025/09/19 18:17:03.279, 1, 86.66 W, 0 %, 0 %, 15 MiB
2025/09/19 18:17:04.279, 0, 89.82 W, 0 %, 0 %, 422 MiB
2025/09/19 18:17:04.279, 1, 102.36 W, 0 %, 0 %, 18 MiB
2025/09/19 18:17:05.279, 0, 100.22 W, 0 %, 0 %, 16 MiB
2025/09/19 18:17:05.280, 1, 109.87 W, 0 %, 0 %, 15 MiB
2025/09/19 18:17:06.280, 0, 96.08 W, 0 %, 0 %, 16 MiB
2025/09/19 18:17:06.293, 1, 108.99 W, 0 %, 0 %, 15 MiB
2025/09/19 18:17:07.293, 0, 95.10 W, 0 %, 0 %, 16 MiB
2025/09/19 18:17:07.363, 1, 108.99 W, 0 %, 0 %, 15 MiB
2025/09/19 18:17:08.363, 0, 95.95 W, 0 %, 0 %, 16 MiB
2025/09/19 18:17:08.364, 1, 91.93 W, 0 %, 0 %, 15 MiB
2025/09/19 18:17:09.364, 0, 96.73 W, 0 %, 0 %, 16 MiB
2025/09/19 18:17:09.364, 1, 91.64 W, 0 %, 0 %, 15 MiB
2025/09/19 18:17:10.365, 0, 96.26 W, 0 %, 0 %, 16 MiB
2025/09/19 18:17:10.365, 1, 92.89 W, 0 %, 0 %, 15 MiB
2025/09/19 18:17:11.365, 0, 95.40 W, 0 %, 0 %, 16 MiB
2025/09/19 18:17:11.402, 1, 96.51 W, 0 %, 0 %, 15 MiB
2025/09/19 18:17:12.403, 0, 95.48 W, 0 %, 0 %, 16 MiB
2025/09/19 18:17:12.415, 1, 100.74 W, 0 %, 0 %, 15 MiB
2025/09/19 18:17:13.415, 0, 96.68 W, 0 %, 0 %, 16 MiB
2025/09/19 18:17:13.415, 1, 106.01 W, 0 %, 0 %, 15 MiB
2025/09/19 18:17:14.416, 0, 96.65 W, 0 %, 0 %, 19 MiB
2025/09/19 18:17:14.416, 1, 97.42 W, 0 %, 0 %, 18 MiB
2025/09/19 18:17:15.416, 0, 99.20 W, 8 %, 0 %, 422 MiB
2025/09/19 18:17:15.527, 1, 84.59 W, 0 %, 0 %, 18 MiB
2025/09/19 18:17:16.528, 0, 96.35 W, 0 %, 0 %, 16 MiB
2025/09/19 18:17:16.528, 1, 94.52 W, 0 %, 0 %, 15 MiB
2025/09/19 18:17:17.529, 0, 96.25 W, 0 %, 0 %, 16 MiB
2025/09/19 18:17:17.529, 1, 105.98 W, 0 %, 0 %, 15 MiB
2025/09/19 18:17:18.529, 0, 89.53 W, 0 %, 0 %, 16 MiB
2025/09/19 18:17:18.529, 1, 107.93 W, 0 %, 0 %, 15 MiB
2025/09/19 18:17:19.531, 0, 84.28 W, 0 %, 0 %, 422 MiB
2025/09/19 18:17:19.569, 1, 92.73 W, 0 %, 0 %, 18 MiB
2025/09/19 18:17:20.570, 0, 94.04 W, 14 %, 8 %, 419 MiB
2025/09/19 18:17:20.571, 1, 74.33 W, 0 %, 0 %, 15 MiB
2025/09/19 18:17:21.571, 0, 97.60 W, 10 %, 1 %, 16 MiB
2025/09/19 18:17:21.571, 1, 91.34 W, 0 %, 0 %, 15 MiB
2025/09/19 18:17:22.572, 0, 95.84 W, 0 %, 0 %, 16 MiB
2025/09/19 18:17:22.572, 1, 103.38 W, 0 %, 0 %, 15 MiB
2025/09/19 18:17:23.572, 0, 96.71 W, 0 %, 0 %, 16 MiB
